image,mask,dataset,mode
./data/MoNuSeg Training Data/Tissue images/TCGA-21-5786-01Z-00-DX1.tif,./data/MoNuSeg Training Data/Masks/TCGA-21-5786-01Z-00-DX1_mask.png,monuseg,none
./data/MoNuSeg Training Data/Tissue images/TCGA-18-5592-01Z-00-DX1.tif,./data/MoNuSeg Training Data/Masks/TCGA-18-5592-01Z-00-DX1_mask.png,monuseg,none
./data/MoNuSeg Training Data/Tissue images/TCGA-B0-5698-01Z-00-DX1.tif,./data/MoNuSeg Training Data/Masks/TCGA-B0-5698-01Z-00-DX1_mask.png,monuseg,none
./data/MoNuSeg Training Data/Tissue images/TCGA-KB-A93J-01A-01-TS1.tif,./data/MoNuSeg Training Data/Masks/TCGA-KB-A93J-01A-01-TS1_mask.png,monuseg,none
./data/MoNuSeg Training Data/Tissue images/TCGA-G9-6362-01Z-00-DX1.tif,./data/MoNuSeg Training Data/Masks/TCGA-G9-6362-01Z-00-DX1_mask.png,monuseg,none
./data/MoNuSeg Training Data/Tissue images/TCGA-AR-A1AK-01Z-00-DX1.tif,./data/MoNuSeg Training Data/Masks/TCGA-AR-A1AK-01Z-00-DX1_mask.png,monuseg,none
./data/MoNuSeg Training Data/Tissue images/TCGA-RD-A8N9-01A-01-TS1.tif,./data/MoNuSeg Training Data/Masks/TCGA-RD-A8N9-01A-01-TS1_mask.png,monuseg,none
./data/MoNuSeg Training Data/Tissue images/TCGA-B0-5711-01Z-00-DX1.tif,./data/MoNuSeg Training Data/Masks/TCGA-B0-5711-01Z-00-DX1_mask.png,monuseg,none
./data/MoNuSeg Training Data/Tissue images/TCGA-50-5931-01Z-00-DX1.tif,./data/MoNuSeg Training Data/Masks/TCGA-50-5931-01Z-00-DX1_mask.png,monuseg,none
./data/MoNuSeg Training Data/Tissue images/TCGA-E2-A14V-01Z-00-DX1.tif,./data/MoNuSeg Training Data/Masks/TCGA-E2-A14V-01Z-00-DX1_mask.png,monuseg,none
./data/MoNuSeg Training Data/Tissue images/TCGA-21-5784-01Z-00-DX1.tif,./data/MoNuSeg Training Data/Masks/TCGA-21-5784-01Z-00-DX1_mask.png,monuseg,none
./data/MoNuSeg Training Data/Tissue images/TCGA-49-4488-01Z-00-DX1.tif,./data/MoNuSeg Training Data/Masks/TCGA-49-4488-01Z-00-DX1_mask.png,monuseg,none
./data/MoNuSeg Training Data/Tissue images/TCGA-B0-5710-01Z-00-DX1.tif,./data/MoNuSeg Training Data/Masks/TCGA-B0-5710-01Z-00-DX1_mask.png,monuseg,none
./data/bbbc039/images/IXMtest_A02_s1_w1051DAA7C-7042-435F-99F0-1E847D9B42CB.tif,./data/bbbc039/masks/IXMtest_A02_s1_w1051DAA7C-7042-435F-99F0-1E847D9B42CB.png,bbbc,valid
./data/bbbc039/images/IXMtest_B04_s4_w1F6AEFA0F-AF87-4B3B-A334-698647CFE043.tif,./data/bbbc039/masks/IXMtest_B04_s4_w1F6AEFA0F-AF87-4B3B-A334-698647CFE043.png,bbbc,valid
./data/bbbc039/images/IXMtest_B12_s2_w19F7E0279-D087-4B5E-9899-61971C29CB78.tif,./data/bbbc039/masks/IXMtest_B12_s2_w19F7E0279-D087-4B5E-9899-61971C29CB78.png,bbbc,valid
./data/bbbc039/images/IXMtest_B17_s7_w1215A0A98-4A76-4846-B54A-F7C1EAF84E02.tif,./data/bbbc039/masks/IXMtest_B17_s7_w1215A0A98-4A76-4846-B54A-F7C1EAF84E02.png,bbbc,valid
./data/bbbc039/images/IXMtest_B19_s7_w1E43B84DB-39E2-4BFB-8CB4-554B32098C75.tif,./data/bbbc039/masks/IXMtest_B19_s7_w1E43B84DB-39E2-4BFB-8CB4-554B32098C75.png,bbbc,valid
./data/bbbc039/images/IXMtest_B24_s9_w18C4FE0DD-12CA-4711-9722-3E3105D1E691.tif,./data/bbbc039/masks/IXMtest_B24_s9_w18C4FE0DD-12CA-4711-9722-3E3105D1E691.png,bbbc,valid
./data/bbbc039/images/IXMtest_C18_s1_w11C16FC59-2E29-496A-803A-89581FDF538A.tif,./data/bbbc039/masks/IXMtest_C18_s1_w11C16FC59-2E29-496A-803A-89581FDF538A.png,bbbc,valid
./data/bbbc039/images/IXMtest_D02_s8_w1AC6783DF-ED35-4818-8091-E6D02AF4BFBD.tif,./data/bbbc039/masks/IXMtest_D02_s8_w1AC6783DF-ED35-4818-8091-E6D02AF4BFBD.png,bbbc,valid
./data/bbbc039/images/IXMtest_D07_s4_w16CF58D03-0B05-41FE-AE73-7298887DEBB1.tif,./data/bbbc039/masks/IXMtest_D07_s4_w16CF58D03-0B05-41FE-AE73-7298887DEBB1.png,bbbc,valid
./data/bbbc039/images/IXMtest_D19_s6_w1EB1F11AE-4FB6-481F-94D9-40246870F0CB.tif,./data/bbbc039/masks/IXMtest_D19_s6_w1EB1F11AE-4FB6-481F-94D9-40246870F0CB.png,bbbc,valid
./data/bbbc039/images/IXMtest_E06_s3_w1701573EB-CE9A-4D76-8668-0416996E1DCD.tif,./data/bbbc039/masks/IXMtest_E06_s3_w1701573EB-CE9A-4D76-8668-0416996E1DCD.png,bbbc,valid
./data/bbbc039/images/IXMtest_E12_s9_w1A811DEC0-ADD9-411A-B5D5-A654C70F253D.tif,./data/bbbc039/masks/IXMtest_E12_s9_w1A811DEC0-ADD9-411A-B5D5-A654C70F253D.png,bbbc,valid
./data/bbbc039/images/IXMtest_F08_s1_w144C3056F-C4DD-4D39-A40F-4F4576A6DBD8.tif,./data/bbbc039/masks/IXMtest_F08_s1_w144C3056F-C4DD-4D39-A40F-4F4576A6DBD8.png,bbbc,valid
./data/bbbc039/images/IXMtest_F12_s5_w17F3E9DFC-6705-40A9-B5FE-C60261D73052.tif,./data/bbbc039/masks/IXMtest_F12_s5_w17F3E9DFC-6705-40A9-B5FE-C60261D73052.png,bbbc,valid
./data/bbbc039/images/IXMtest_F22_s6_w1F4C7ADE4-B68D-4D30-A063-722B87AA2DA1.tif,./data/bbbc039/masks/IXMtest_F22_s6_w1F4C7ADE4-B68D-4D30-A063-722B87AA2DA1.png,bbbc,valid
./data/bbbc039/images/IXMtest_G10_s3_w1C1257E17-1DBA-4619-B06E-D6DBB8A53088.tif,./data/bbbc039/masks/IXMtest_G10_s3_w1C1257E17-1DBA-4619-B06E-D6DBB8A53088.png,bbbc,valid
./data/bbbc039/images/IXMtest_G12_s6_w16850371E-A405-4D73-9816-F5F68F885D38.tif,./data/bbbc039/masks/IXMtest_G12_s6_w16850371E-A405-4D73-9816-F5F68F885D38.png,bbbc,valid
./data/bbbc039/images/IXMtest_G13_s9_w19606195E-12B4-46FF-9B83-1F7FE11B3AFB.tif,./data/bbbc039/masks/IXMtest_G13_s9_w19606195E-12B4-46FF-9B83-1F7FE11B3AFB.png,bbbc,valid
./data/bbbc039/images/IXMtest_G18_s9_w17F495AF2-03D2-4683-BD37-56887F4A3A84.tif,./data/bbbc039/masks/IXMtest_G18_s9_w17F495AF2-03D2-4683-BD37-56887F4A3A84.png,bbbc,valid
./data/bbbc039/images/IXMtest_G22_s3_w157F2847B-C953-410E-8F60-956A6023AED4.tif,./data/bbbc039/masks/IXMtest_G22_s3_w157F2847B-C953-410E-8F60-956A6023AED4.png,bbbc,valid
./data/bbbc039/images/IXMtest_G22_s5_w1CE8AEFCD-7739-4D60-B112-9D2D73EE05E5.tif,./data/bbbc039/masks/IXMtest_G22_s5_w1CE8AEFCD-7739-4D60-B112-9D2D73EE05E5.png,bbbc,valid
./data/bbbc039/images/IXMtest_H11_s6_w19DF4E879-8DE4-45D6-840B-305BDDB27076.tif,./data/bbbc039/masks/IXMtest_H11_s6_w19DF4E879-8DE4-45D6-840B-305BDDB27076.png,bbbc,valid
./data/bbbc039/images/IXMtest_I01_s4_w1218CC565-C87E-4390-936A-4D3E51BC10DB.tif,./data/bbbc039/masks/IXMtest_I01_s4_w1218CC565-C87E-4390-936A-4D3E51BC10DB.png,bbbc,valid
./data/bbbc039/images/IXMtest_I04_s9_w16A5CC270-8B92-42EE-AA4A-855776F7D46B.tif,./data/bbbc039/masks/IXMtest_I04_s9_w16A5CC270-8B92-42EE-AA4A-855776F7D46B.png,bbbc,valid
./data/bbbc039/images/IXMtest_I07_s4_w1F156255A-3842-46FB-ABF2-9D041E523F86.tif,./data/bbbc039/masks/IXMtest_I07_s4_w1F156255A-3842-46FB-ABF2-9D041E523F86.png,bbbc,valid
./data/bbbc039/images/IXMtest_I08_s2_w11996D679-5D76-4FB8-A681-2014A8999EC8.tif,./data/bbbc039/masks/IXMtest_I08_s2_w11996D679-5D76-4FB8-A681-2014A8999EC8.png,bbbc,valid
./data/bbbc039/images/IXMtest_I11_s6_w1B2DC04C7-2D7D-45C6-9DC2-66D8605FBE63.tif,./data/bbbc039/masks/IXMtest_I11_s6_w1B2DC04C7-2D7D-45C6-9DC2-66D8605FBE63.png,bbbc,valid
./data/bbbc039/images/IXMtest_I16_s9_w1582FD22A-5270-4FDC-868F-5F75808E2321.tif,./data/bbbc039/masks/IXMtest_I16_s9_w1582FD22A-5270-4FDC-868F-5F75808E2321.png,bbbc,valid
./data/bbbc039/images/IXMtest_I18_s3_w1544C8B7A-E092-4F9D-B8D3-C489638D770F.tif,./data/bbbc039/masks/IXMtest_I18_s3_w1544C8B7A-E092-4F9D-B8D3-C489638D770F.png,bbbc,valid
./data/bbbc039/images/IXMtest_J02_s8_w1D9C198F9-ECF0-4EF7-848D-AC7782CD3C28.tif,./data/bbbc039/masks/IXMtest_J02_s8_w1D9C198F9-ECF0-4EF7-848D-AC7782CD3C28.png,bbbc,valid
./data/bbbc039/images/IXMtest_J08_s2_w1C146DB1C-05B3-49EF-9C62-1185FD9897AC.tif,./data/bbbc039/masks/IXMtest_J08_s2_w1C146DB1C-05B3-49EF-9C62-1185FD9897AC.png,bbbc,valid
./data/bbbc039/images/IXMtest_J20_s1_w1EEE65E52-7AD8-47C7-A286-6E84C5D77953.tif,./data/bbbc039/masks/IXMtest_J20_s1_w1EEE65E52-7AD8-47C7-A286-6E84C5D77953.png,bbbc,valid
./data/bbbc039/images/IXMtest_K12_s1_w193D6C057-1AA9-4E2F-86EA-2E71961BE68B.tif,./data/bbbc039/masks/IXMtest_K12_s1_w193D6C057-1AA9-4E2F-86EA-2E71961BE68B.png,bbbc,valid
./data/bbbc039/images/IXMtest_K12_s7_w12A7857A5-3C92-4A08-8E81-2CA8A99F67AE.tif,./data/bbbc039/masks/IXMtest_K12_s7_w12A7857A5-3C92-4A08-8E81-2CA8A99F67AE.png,bbbc,valid
./data/bbbc039/images/IXMtest_L03_s2_w1AC4550E2-F824-4A58-9CC5-952AD9ECE76A.tif,./data/bbbc039/masks/IXMtest_L03_s2_w1AC4550E2-F824-4A58-9CC5-952AD9ECE76A.png,bbbc,valid
./data/bbbc039/images/IXMtest_L05_s2_w1B9C6FAC9-9D48-4184-8D9B-ABFC3BEC1125.tif,./data/bbbc039/masks/IXMtest_L05_s2_w1B9C6FAC9-9D48-4184-8D9B-ABFC3BEC1125.png,bbbc,valid
./data/bbbc039/images/IXMtest_L10_s6_w12D12D64C-2639-4CA8-9BB4-99F92C9B7068.tif,./data/bbbc039/masks/IXMtest_L10_s6_w12D12D64C-2639-4CA8-9BB4-99F92C9B7068.png,bbbc,valid
./data/bbbc039/images/IXMtest_L11_s4_w13C057BB5-9CFB-471F-84B5-72F80654CF81.tif,./data/bbbc039/masks/IXMtest_L11_s4_w13C057BB5-9CFB-471F-84B5-72F80654CF81.png,bbbc,valid
./data/bbbc039/images/IXMtest_L14_s5_w14B42C89E-7650-44AC-9D7B-50BE61EA307E.tif,./data/bbbc039/masks/IXMtest_L14_s5_w14B42C89E-7650-44AC-9D7B-50BE61EA307E.png,bbbc,valid
./data/bbbc039/images/IXMtest_M20_s3_w15C73A7C7-F81B-4583-AB8F-0A64336AF070.tif,./data/bbbc039/masks/IXMtest_M20_s3_w15C73A7C7-F81B-4583-AB8F-0A64336AF070.png,bbbc,valid
./data/bbbc039/images/IXMtest_M23_s8_w118BC311D-A998-4161-8256-22839B2421F2.tif,./data/bbbc039/masks/IXMtest_M23_s8_w118BC311D-A998-4161-8256-22839B2421F2.png,bbbc,valid
./data/bbbc039/images/IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,./data/bbbc039/masks/IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.png,bbbc,valid
./data/bbbc039/images/IXMtest_N18_s2_w1CC5ED51D-86C5-437D-8EDD-E56E4C949B3B.tif,./data/bbbc039/masks/IXMtest_N18_s2_w1CC5ED51D-86C5-437D-8EDD-E56E4C949B3B.png,bbbc,valid
./data/bbbc039/images/IXMtest_O09_s2_w133C7EDCE-1C7C-41A6-9E52-7AD499E7CDC8.tif,./data/bbbc039/masks/IXMtest_O09_s2_w133C7EDCE-1C7C-41A6-9E52-7AD499E7CDC8.png,bbbc,valid
./data/bbbc039/images/IXMtest_O10_s8_w18F4DB020-BFB7-4F13-B99C-C39F8E54F85D.tif,./data/bbbc039/masks/IXMtest_O10_s8_w18F4DB020-BFB7-4F13-B99C-C39F8E54F85D.png,bbbc,valid
./data/bbbc039/images/IXMtest_O13_s3_w12D9C1C9C-C582-4080-B9BE-4807FA3E0843.tif,./data/bbbc039/masks/IXMtest_O13_s3_w12D9C1C9C-C582-4080-B9BE-4807FA3E0843.png,bbbc,valid
./data/bbbc039/images/IXMtest_O16_s2_w1F6F6A3A1-99E4-4029-B734-022806CF6D42.tif,./data/bbbc039/masks/IXMtest_O16_s2_w1F6F6A3A1-99E4-4029-B734-022806CF6D42.png,bbbc,valid
./data/bbbc039/images/IXMtest_P01_s3_w1A7DC2612-9C11-4656-B100-102AF8FE8B43.tif,./data/bbbc039/masks/IXMtest_P01_s3_w1A7DC2612-9C11-4656-B100-102AF8FE8B43.png,bbbc,valid
./data/bbbc039/images/IXMtest_P15_s3_w10F5E9699-743C-4177-93CE-27CFD65A925E.tif,./data/bbbc039/masks/IXMtest_P15_s3_w10F5E9699-743C-4177-93CE-27CFD65A925E.png,bbbc,valid
./data/bbbc039/images/IXMtest_P21_s5_w1ACEBEE91-BAFA-49E6-9D97-D07197400A15.tif,./data/bbbc039/masks/IXMtest_P21_s5_w1ACEBEE91-BAFA-49E6-9D97-D07197400A15.png,bbbc,valid
./data/bbbc039/images/IXMtest_A06_s6_w1B9577918-4973-4A87-BA73-A168AA755527.tif,./data/bbbc039/masks/IXMtest_A06_s6_w1B9577918-4973-4A87-BA73-A168AA755527.png,bbbc,train
./data/bbbc039/images/IXMtest_A15_s5_w1825174D4-ED30-490C-9635-6196417D6C9D.tif,./data/bbbc039/masks/IXMtest_A15_s5_w1825174D4-ED30-490C-9635-6196417D6C9D.png,bbbc,train
./data/bbbc039/images/IXMtest_A16_s3_w1032BE329-E21B-4E1B-B4B8-58700685EE0C.tif,./data/bbbc039/masks/IXMtest_A16_s3_w1032BE329-E21B-4E1B-B4B8-58700685EE0C.png,bbbc,train
./data/bbbc039/images/IXMtest_A18_s1_w1BFDF1C94-9C1F-4F5F-BBC1-05196333B1BF.tif,./data/bbbc039/masks/IXMtest_A18_s1_w1BFDF1C94-9C1F-4F5F-BBC1-05196333B1BF.png,bbbc,train
./data/bbbc039/images/IXMtest_A20_s4_w153DE191F-B112-471B-AC0A-FAD27990714B.tif,./data/bbbc039/masks/IXMtest_A20_s4_w153DE191F-B112-471B-AC0A-FAD27990714B.png,bbbc,train
./data/bbbc039/images/IXMtest_A21_s1_w1D8BF2790-C628-4109-94AF-DF6D8A3480B6.tif,./data/bbbc039/masks/IXMtest_A21_s1_w1D8BF2790-C628-4109-94AF-DF6D8A3480B6.png,bbbc,train
./data/bbbc039/images/IXMtest_A24_s9_w152CD6793-DA45-4975-869A-CBD49D645E37.tif,./data/bbbc039/masks/IXMtest_A24_s9_w152CD6793-DA45-4975-869A-CBD49D645E37.png,bbbc,train
./data/bbbc039/images/IXMtest_B12_s9_w1ABE4C6B8-6110-4D7D-B782-94C43FDC2E1F.tif,./data/bbbc039/masks/IXMtest_B12_s9_w1ABE4C6B8-6110-4D7D-B782-94C43FDC2E1F.png,bbbc,train
./data/bbbc039/images/IXMtest_B20_s2_w159B9FE71-035A-4DED-B0CA-C76916C968BC.tif,./data/bbbc039/masks/IXMtest_B20_s2_w159B9FE71-035A-4DED-B0CA-C76916C968BC.png,bbbc,train
./data/bbbc039/images/IXMtest_B21_s3_w141E785B1-44FE-4ED0-9CCE-6FF076EFE9FE.tif,./data/bbbc039/masks/IXMtest_B21_s3_w141E785B1-44FE-4ED0-9CCE-6FF076EFE9FE.png,bbbc,train
./data/bbbc039/images/IXMtest_B21_s4_w1521471E0-9BD7-492A-8739-9C782C2585B0.tif,./data/bbbc039/masks/IXMtest_B21_s4_w1521471E0-9BD7-492A-8739-9C782C2585B0.png,bbbc,train
./data/bbbc039/images/IXMtest_B21_s7_w1276972A2-1794-4A98-8E76-876A597C346B.tif,./data/bbbc039/masks/IXMtest_B21_s7_w1276972A2-1794-4A98-8E76-876A597C346B.png,bbbc,train
./data/bbbc039/images/IXMtest_B22_s6_w19397283D-2426-4942-8A0F-EB75E1D48C2D.tif,./data/bbbc039/masks/IXMtest_B22_s6_w19397283D-2426-4942-8A0F-EB75E1D48C2D.png,bbbc,train
./data/bbbc039/images/IXMtest_B22_s8_w10754C18F-B059-47B4-A423-FF429B984D80.tif,./data/bbbc039/masks/IXMtest_B22_s8_w10754C18F-B059-47B4-A423-FF429B984D80.png,bbbc,train
./data/bbbc039/images/IXMtest_B23_s1_w152C21D3B-75A9-4FF9-839A-23E6CE19AEEC.tif,./data/bbbc039/masks/IXMtest_B23_s1_w152C21D3B-75A9-4FF9-839A-23E6CE19AEEC.png,bbbc,train
./data/bbbc039/images/IXMtest_C02_s4_w1661FF37C-AB9B-4038-BDF3-D21DFD2811BE.tif,./data/bbbc039/masks/IXMtest_C02_s4_w1661FF37C-AB9B-4038-BDF3-D21DFD2811BE.png,bbbc,train
./data/bbbc039/images/IXMtest_C05_s7_w1F71963FB-8F29-41CB-A5F5-07CB9584BBC5.tif,./data/bbbc039/masks/IXMtest_C05_s7_w1F71963FB-8F29-41CB-A5F5-07CB9584BBC5.png,bbbc,train
./data/bbbc039/images/IXMtest_C09_s7_w1768A3B0D-47FE-4D77-B1C6-46018E29486F.tif,./data/bbbc039/masks/IXMtest_C09_s7_w1768A3B0D-47FE-4D77-B1C6-46018E29486F.png,bbbc,train
./data/bbbc039/images/IXMtest_C19_s4_w1AD3DC23E-B9B5-46E9-9716-26096C672A13.tif,./data/bbbc039/masks/IXMtest_C19_s4_w1AD3DC23E-B9B5-46E9-9716-26096C672A13.png,bbbc,train
./data/bbbc039/images/IXMtest_C21_s9_w1289444BE-8623-4867-86E7-01E155C6538D.tif,./data/bbbc039/masks/IXMtest_C21_s9_w1289444BE-8623-4867-86E7-01E155C6538D.png,bbbc,train
./data/bbbc039/images/IXMtest_D04_s2_w1E05C134E-BAFE-4FD7-8116-2D05E0839879.tif,./data/bbbc039/masks/IXMtest_D04_s2_w1E05C134E-BAFE-4FD7-8116-2D05E0839879.png,bbbc,train
./data/bbbc039/images/IXMtest_D04_s9_w17B6268DB-8215-4DC6-943C-CC009A8A5732.tif,./data/bbbc039/masks/IXMtest_D04_s9_w17B6268DB-8215-4DC6-943C-CC009A8A5732.png,bbbc,train
./data/bbbc039/images/IXMtest_D06_s5_w13C67AAA9-6E81-42DB-AC5F-7126602F3607.tif,./data/bbbc039/masks/IXMtest_D06_s5_w13C67AAA9-6E81-42DB-AC5F-7126602F3607.png,bbbc,train
./data/bbbc039/images/IXMtest_D20_s9_w1588B4C42-5A0D-4B93-9A80-A6527CC1C411.tif,./data/bbbc039/masks/IXMtest_D20_s9_w1588B4C42-5A0D-4B93-9A80-A6527CC1C411.png,bbbc,train
./data/bbbc039/images/IXMtest_E04_s4_w1F5ABC12B-FABD-4E33-AB99-82271209853E.tif,./data/bbbc039/masks/IXMtest_E04_s4_w1F5ABC12B-FABD-4E33-AB99-82271209853E.png,bbbc,train
./data/bbbc039/images/IXMtest_E05_s2_w15CCE97F8-3F02-412E-8BF2-FC92972DDA1A.tif,./data/bbbc039/masks/IXMtest_E05_s2_w15CCE97F8-3F02-412E-8BF2-FC92972DDA1A.png,bbbc,train
./data/bbbc039/images/IXMtest_E08_s2_w1588EDEBA-1BBA-4E49-810F-2EF2064C8846.tif,./data/bbbc039/masks/IXMtest_E08_s2_w1588EDEBA-1BBA-4E49-810F-2EF2064C8846.png,bbbc,train
./data/bbbc039/images/IXMtest_E15_s5_w1419F04CC-50C3-41FB-A87A-FB17647A2E33.tif,./data/bbbc039/masks/IXMtest_E15_s5_w1419F04CC-50C3-41FB-A87A-FB17647A2E33.png,bbbc,train
